image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,trialImage.stopped,polygon.stopped,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/50_Jackie_Chan_0014.jpg,non_target,0,0,0,0,0,48,48,38,,,,,,,,,,,,,173.50464870000724,173.50464870000724,173.97185380000155,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/40_Will_Smith_0012.jpg,non_target,0,0,0,0,0,49,49,110,,,,,,,,,,,,,174.47214259998873,174.47214259998873,174.9729578999977,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/23_Daniel_Radcliffe_0019.jpg,target,0,0,0,0,0,50,50,6,,,,,,,,,,,,,175.47454219998326,175.47454219998326,175.97405530000106,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/18_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,51,51,75,,,,,,,,,,,,,176.47641289999592,176.47641289999592,176.97910999998567,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/16_Emma_Stone_0012.jpg,non_target,0,0,0,0,0,52,52,70,,,,,,,,,,,,,177.4804363999865,177.4804363999865,177.9802376999869,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/36_Neil_Patrick_Harris_0007.jpg,non_target,0,0,0,0,0,53,53,5,,,,,,,,,,,,,178.481503899995,178.481503899995,178.98129759999574,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/48_Johnny_Depp_0005.jpg,non_target,0,0,0,0,0,54,54,54,,,,,,,,,,,,,179.49460229999386,179.49460229999386,179.97831420000875,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/50_Johnny_Depp_0018.jpg,non_target,0,0,0,0,0,55,55,24,,,,,,,,,,,,,180.4956414999906,180.4956414999906,180.97952190000797,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/22_Margot_Robbie_0010.jpg,non_target,0,0,0,0,0,56,56,18,,,,,,,,,,,,,181.48082279998926,181.48082279998926,181.9805742999888,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/47_Johnny_Depp_0003.jpg,non_target,0,0,0,0,0,57,57,9,,,,,,,,,,,,,182.48371040000347,182.48371040000347,182.98573039998882,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/23_Emma_Stone_0014.jpg,non_target,0,0,0,0,0,58,58,12,,,,,,,,,,,,,183.49886950000655,183.49886950000655,183.9828234000015,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/17_Margot_Robbie_0014.jpg,non_target,0,0,0,0,0,59,59,114,,,,,,,,,,,,,184.5001190000039,184.5001190000039,184.98384889998124,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/50_Johnny_Depp_0008.jpg,non_target,0,0,0,0,0,60,60,84,,,,,,,,,,,,,185.48517129998072,185.48517129998072,185.98492280000937,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
